Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1998-05-01,31.47766,31.47766,30.47766,30.47766,31.47766,31.47766,31.47766,29.64766,30.47766,29.64766,30.47766,30.47766,30.47766,30.47766,29.64766,29.64766,29.64766,29.64766,31.47766,34.47766,31.47766,30.47766,31.47766,30.47766
1998-05-02,30.47766,30.47766,30.47766,30.47766,30.47766,30.47766,31.72766,30.47766,31.72766,31.72766,31.72766,32.577659999999995,32.577659999999995,30.47766,30.47766,30.47766,30.47766,30.47766,30.47766,32.577659999999995,33.47766,32.577659999999995,33.47766,32.577659999999995
1998-05-03,30.47766,30.47766,30.47766,30.47766,30.47766,30.47766,30.47766,32.92766,32.92766,32.92766,32.92766,32.92766,33.47766,33.47766,32.92766,32.92766,30.47766,32.92766,32.92766,33.47766,32.92766,30.47766,32.92766,30.47766
1998-05-04,24.47766,24.47766,24.47766,24.47766,29.99166,30.47766,32.47766,30.47766,32.47766,32.47766,33.47766,33.47766,32.47766,32.47766,32.47766,32.47766,31.27766,31.27766,32.47766,32.47766,31.27766,31.27766,30.47766,29.99166
1998-05-05,26.47766,26.47766,26.47766,23.47766,26.47766,28.97766,29.32766,29.32766,29.32766,29.32766,29.32766,29.32766,29.32766,29.32766,28.97766,29.32766,29.32766,28.97766,31.27766,33.47766,29.32766,27.70966,26.47766,23.47766
1998-05-06,20.47766,20.47766,20.47766,20.47766,20.47766,22.72766,23.47766,22.97766,22.97766,26.00766,26.00766,26.00766,22.97766,22.97766,22.97766,22.97766,23.47766,23.47766,26.67766,26.67766,26.61066,26.61066,22.97766,22.72766
1998-05-07,24.46566,24.46566,24.46566,24.46566,24.46566,26.47766,29.47766,24.46566,24.46566,22.97766,26.47766,26.47766,22.97766,22.97766,22.97766,22.97766,22.97766,24.46566,27.30766,27.30766,27.30766,24.46566,24.46566,24.46566
1998-05-08,22.47766,17.97766,17.97766,17.97766,22.47766,20.47766,21.47766,21.47766,21.47766,22.47766,22.47766,29.27766,22.47766,21.97766,21.97766,21.97766,21.97766,22.47766,24.47766,29.27766,24.47766,21.47766,29.27766,29.47766
1998-05-09,19.36566,19.36566,19.36566,19.36566,19.36566,19.36566,24.47766,29.47766,29.47766,29.59466,29.59466,29.59466,29.59466,26.97766,26.97766,23.47766,23.47766,26.97766,26.97766,29.59466,26.97766,29.59466,29.47766,20.97766
1998-05-10,19.36566,19.36566,17.97766,17.97766,17.97766,19.36566,19.36566,20.77766,20.97766,20.97766,20.97766,20.97766,27.97766,20.97766,20.97766,20.77766,20.77766,20.77766,20.97766,27.97766,27.97766,29.47766,27.97766,20.97766
1998-05-11,17.97766,17.967660000000002,17.967660000000002,17.967660000000002,17.97766,22.61066,22.61066,28.97766,28.97766,22.61066,28.97766,28.97766,28.97766,22.61066,22.61066,22.61066,22.61066,28.97766,28.97766,28.97766,22.61066,22.61066,20.48666,20.97766
1998-05-12,22.49866,22.49866,22.49866,22.49866,22.49866,29.60766,21.47766,29.47766,29.47766,19.37766,21.47766,29.97766,21.47766,19.37766,19.37766,19.37766,19.37766,21.47766,33.47766,41.57766,33.47766,29.60766,29.60766,23.02066
1998-05-13,25.40466,25.40466,25.40466,25.40466,25.40466,29.97766,25.47766,25.47766,25.47766,25.47766,27.03766,27.03766,27.03766,24.47766,24.47766,24.47766,24.47766,27.03766,27.03766,29.97766,27.03766,25.40466,25.40466,27.03766
1998-05-14,23.47766,23.47766,23.47766,23.47766,23.47766,27.47766,29.47766,29.47766,27.47766,27.47766,29.97766,29.97766,29.97766,27.47766,27.47766,27.47766,27.47766,21.47766,24.47766,27.47766,24.47766,23.47766,24.47766,23.47766
1998-05-15,26.97766,26.97766,26.97766,26.97766,26.97766,26.97766,23.47766,23.47766,29.47766,29.47766,29.47766,30.17766,30.17766,29.47766,26.97766,26.97766,26.97766,29.47766,26.97766,29.47766,26.97766,23.47766,23.47766,29.47766
1998-05-16,25.70766,25.70766,25.70766,25.70766,25.70766,27.97766,20.47766,25.70766,27.97766,27.97766,27.97766,27.97766,27.97766,27.97766,25.70766,25.70766,25.70766,25.70766,23.47766,25.70766,25.70766,25.27766,27.97766,27.97766
1998-05-17,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,26.47766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,27.17766,30.67766,28.97766,30.67766,27.17766
1998-05-18,28.67766,28.67766,28.67766,28.67766,27.47766,33.077659999999995,33.077659999999995,33.077659999999995,33.077659999999995,27.17766,27.47766,27.47766,27.47766,27.17766,33.077659999999995,28.67766,28.67766,27.17766,27.47766,28.67766,27.47766,33.077659999999995,27.47766,28.67766
1998-05-19,27.27766,26.47766,26.47766,26.47766,27.27766,27.27766,27.47766,32.007659999999994,27.27766,26.47766,27.27766,26.47766,24.25766,21.27766,24.47766,24.47766,21.27766,24.25766,26.47766,26.47766,24.47766,24.47766,24.47766,24.47766
1998-05-20,24.47766,24.47766,24.47766,24.47766,25.47766,33.47766,25.47766,23.47766,23.47766,24.47766,25.47766,23.47766,23.47766,23.47766,23.47766,23.47766,23.47766,23.47766,25.47766,25.47766,24.47766,24.47766,24.47766,25.47766
1998-05-21,25.47766,25.47766,25.47766,25.47766,29.97766,29.79466,25.47766,25.47766,25.47766,23.47766,23.47766,23.47766,25.47766,33.077659999999995,33.077659999999995,33.077659999999995,33.077659999999995,22.47766,25.47766,34.81766,25.47766,33.077659999999995,25.47766,25.47766
1998-05-22,32.74766,30.97766,30.97766,30.97766,23.47766,29.87966,32.74766,32.74766,23.47766,23.37766,32.74766,32.74766,32.74766,21.47766,32.74766,29.87966,29.87966,21.47766,21.47766,23.37766,21.47766,32.74766,23.37766,21.47766
1998-05-23,23.37766,21.47766,21.47766,21.47766,23.37766,29.47766,29.47766,29.47766,29.47766,23.37766,23.37766,29.87966,29.87966,29.47766,29.47766,29.47766,29.47766,21.47766,21.47766,23.37766,21.47766,29.47766,29.47766,21.47766
