Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1998-07-20,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,14.67433,13.84733,14.67433,14.67433,13.84733,13.84733,13.84733,15.56633,13.84733,13.84733,13.84733,14.87433,13.84733,13.84733,13.84733,13.84733
1998-07-21,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,15.56633,20.67433,20.67433,20.67433,20.67433,20.67433,20.67433,15.56633,20.67433,20.67433,20.67433,20.67433,20.97433,30.99433,20.67433,20.67433,13.84733,13.84733
1998-07-22,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,20.67433,20.67433,20.67433,20.67433,20.67433,19.17433,19.17433,20.67433,20.67433,20.67433,13.84733,13.84733,20.67433,28.38433,20.67433,20.67433,15.56633,13.84733
1998-07-23,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67433,50.67433,20.67433,20.67333,15.56633,13.84733
1998-07-24,13.84733,13.84733,13.84733,13.84733,13.84733,15.56633,20.67333,20.67333,13.84733,13.84733,20.67333,20.67333,20.67333,15.56633,13.84733,20.67333,20.67333,20.67333,20.67433,28.66433,20.67433,20.67333,20.67433,13.84733
1998-07-25,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,15.56633,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,13.84733,13.84733,13.84733,15.56633,20.67333,22.67433,20.67333,20.67333,13.84733,13.84733
1998-07-26,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,20.67333,20.67333,20.67333,20.67333,13.84733,13.84733
1998-07-27,13.84733,13.84733,13.84733,13.84733,13.84733,13.84733,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,22.67433,36.07433,26.97433,22.67433,23.17433,19.47433
1998-07-28,19.47433,15.56633,15.56633,15.56633,13.84733,22.67433,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,15.67433,15.67433,20.67333,22.67433,20.67333,20.67333,15.56633,13.84733
1998-07-29,15.56633,15.56633,15.56633,15.56633,19.17433,22.62433,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,29.03433,51.57433,29.03433,20.67333,22.62433,15.56633
1998-07-30,19.67433,15.56633,15.56633,15.56633,19.67433,22.62433,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,15.56633,15.56633,15.56633,20.67333,20.67333,52.62433000000001,20.67333,20.67333,15.56633,13.84733
1998-07-31,13.84733,13.84733,13.84733,13.84733,13.84733,15.56633,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,20.67333,15.56633,19.47433,26.97433,30.67433,26.97433,20.67333,20.67333,19.47433
